fpr,tpr
0.0,0.0
0.027777777777777776,0.390625
0.027777777777777776,0.40625
0.08333333333333333,0.5625
0.08888888888888889,0.578125
0.08888888888888889,0.59375
0.09444444444444444,0.671875
0.1,0.671875
0.1111111111111111,0.703125
0.12222222222222222,0.71875
0.12222222222222222,0.734375
0.13333333333333333,0.734375
0.16111111111111112,0.734375
0.16666666666666666,0.734375
0.2111111111111111,0.78125
0.21666666666666667,0.796875
0.24444444444444444,0.859375
0.25,0.875
0.2611111111111111,0.875
0.3111111111111111,0.90625
0.32222222222222224,0.90625
0.3277777777777778,0.90625
0.3277777777777778,0.921875
0.34444444444444444,0.9375
0.38333333333333336,0.9375
0.40555555555555556,0.9375
0.45,0.96875
0.5722222222222222,1.0
1.0,1.0
